order_details_id,order_id,order_date,order_time,item_id
1,1,1/1/23,11:38:36,109
2,2,1/1/23,11:57:40,108
3,2,1/1/23,11:57:40,124
4,2,1/1/23,11:57:40,117
5,2,1/1/23,11:57:40,129
6,2,1/1/23,11:57:40,106
7,3,1/1/23,12:12:28,117
8,3,1/1/23,12:12:28,119
9,4,1/1/23,12:16:31,117
10,5,1/1/23,12:21:30,117
11,6,1/1/23,12:29:36,101
12,6,1/1/23,12:29:36,114
13,7,1/1/23,12:50:37,123
14,8,1/1/23,12:51:37,123
15,9,1/1/23,12:52:01,108
16,9,1/1/23,12:52:01,126
17,9,1/1/23,12:52:01,110
18,9,1/1/23,12:52:01,117
19,9,1/1/23,12:52:01,117
20,9,1/1/23,12:52:01,129
21,9,1/1/23,12:52:01,122
22,9,1/1/23,12:52:01,130
23,9,1/1/23,12:52:01,132
24,10,1/1/23,13:00:15,129
25,10,1/1/23,13:00:15,105
26,11,1/1/23,13:02:59,101
27,11,1/1/23,13:02:59,102
28,11,1/1/23,13:02:59,102
29,11,1/1/23,13:02:59,113
30,12,1/1/23,13:04:41,102
31,12,1/1/23,13:04:41,102
32,12,1/1/23,13:04:41,104
33,12,1/1/23,13:04:41,117
34,13,1/1/23,13:11:55,129
35,14,1/1/23,13:14:19,114
36,15,1/1/23,13:33:00,107
37,15,1/1/23,13:33:00,124
38,15,1/1/23,13:33:00,121
39,15,1/1/23,13:33:00,114
40,16,1/1/23,13:34:07,125
41,16,1/1/23,13:34:07,111
42,16,1/1/23,13:34:07,106
43,17,1/1/23,13:53:00,101
44,17,1/1/23,13:53:00,116
45,17,1/1/23,13:53:00,124
46,17,1/1/23,13:53:00,125
47,17,1/1/23,13:53:00,117
48,17,1/1/23,13:53:00,127
49,17,1/1/23,13:53:00,128
50,17,1/1/23,13:53:00,129
51,17,1/1/23,13:53:00,118
52,17,1/1/23,13:53:00,131
53,18,1/1/23,13:57:08,111
54,19,1/1/23,13:59:09,110
55,19,1/1/23,13:59:09,120
56,20,1/1/23,14:03:08,107
57,20,1/1/23,14:03:08,124
58,21,1/1/23,14:14:29,110
59,22,1/1/23,14:16:26,124
60,22,1/1/23,14:16:26,110
61,22,1/1/23,14:16:26,105
62,23,1/1/23,14:19:03,105
63,24,1/1/23,14:23:01,101
64,24,1/1/23,14:23:01,110
65,24,1/1/23,14:23:01,113
66,24,1/1/23,14:23:01,119
67,25,1/1/23,14:44:44,120
68,25,1/1/23,14:44:44,106
69,26,1/1/23,14:54:26,108
70,26,1/1/23,14:54:26,132
71,27,1/1/23,15:11:17,101
72,27,1/1/23,15:11:17,108
73,27,1/1/23,15:11:17,131
74,28,1/1/23,15:35:46,103
75,29,1/1/23,15:41:01,126
76,30,1/1/23,15:41:25,106
77,31,1/1/23,15:50:18,129
78,31,1/1/23,15:50:18,113
79,32,1/1/23,15:53:18,107
80,32,1/1/23,15:53:18,126
81,32,1/1/23,15:53:18,110
82,32,1/1/23,15:53:18,117
83,33,1/1/23,15:54:08,101
84,33,1/1/23,15:54:08,126
85,34,1/1/23,16:21:21,114
86,35,1/1/23,16:32:04,126
87,35,1/1/23,16:32:04,112
88,35,1/1/23,16:32:04,113
89,35,1/1/23,16:32:04,106
90,36,1/1/23,16:54:09,101
91,36,1/1/23,16:54:09,108
92,37,1/1/23,16:56:09,117
93,37,1/1/23,16:56:09,129
94,38,1/1/23,17:03:00,109
95,38,1/1/23,17:03:00,110
96,39,1/1/23,17:07:23,117
97,40,1/1/23,17:14:36,125
98,40,1/1/23,17:14:36,105
99,41,1/1/23,17:15:20,125
100,41,1/1/23,17:15:20,126
101,42,1/1/23,17:28:09,107
102,42,1/1/23,17:28:09,124
103,42,1/1/23,17:28:09,129
104,42,1/1/23,17:28:09,118
105,43,1/1/23,17:38:34,103
106,43,1/1/23,17:38:34,117
107,43,1/1/23,17:38:34,118
108,44,1/1/23,17:54:20,130
109,45,1/1/23,17:55:48,125
110,45,1/1/23,17:55:48,109
111,45,1/1/23,17:55:48,106
112,46,1/1/23,18:25:51,104
113,46,1/1/23,18:25:51,108
114,46,1/1/23,18:25:51,106
115,47,1/1/23,18:26:34,105
116,47,1/1/23,18:26:34,132
117,48,1/1/23,18:26:42,104
118,48,1/1/23,18:26:42,126
119,48,1/1/23,18:26:42,119
120,48,1/1/23,18:26:42,122
121,49,1/1/23,18:33:00,120
122,50,1/1/23,18:41:01,NULL
123,51,1/1/23,18:48:28,101
124,51,1/1/23,18:48:28,112
125,52,1/1/23,18:53:02,109
126,52,1/1/23,18:53:02,129
127,52,1/1/23,18:53:02,122
128,53,1/1/23,18:54:17,112
129,53,1/1/23,18:54:17,123
130,54,1/1/23,19:01:45,119
131,54,1/1/23,19:01:45,106
132,55,1/1/23,19:03:19,118
133,55,1/1/23,19:03:19,122
134,56,1/1/23,19:07:00,108
